incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,fire_LON,fire_LAT,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,created,log_acres,aspect,elevation,first,hillshade,slope,fire_date,fire_id,matched_veg_LAT,matched_veg_LON,location_distance_degrees,STID,DATE,FUEL_TYPE,FUEL_VARIATION,PERCENT,NAME,GACC,GROUP,veg_LAT,veg_LON,ELE,veg_date,date_gap_days
 Bridge Fire,Y,2018-01-09T13:46:00Z,2017-10-31T11:22:00Z, Shasta-Trinity National Forest ,,Shasta,"I-5 and Turntable Bay, 7 miles NE of Shasta Lake ",37.0,100.0,, Shasta-Trinity National Forest ,-122.309,40.774,,2ca11d45-8139-4c16-8af0-880d99b21e82,https://www.fire.ca.gov/incidents/2017/10/31/bridge-fire/,2018-01-09T13:46:00Z,2018-01-09,2017-10-31,N,False,False,2017-10-31,1.568201724066995,46.0,342.11151123046875,38.39547623381282,105.0,36.0,2017-10-31,0,40.87083333333334,-122.38972222222225,0.12606653642003174,685,2017-10-18,Manzanita,Whiteleaf,73.0,Lakeshore,NOCC,Shasta-Trinity NF,40.87083333333334,-122.38972222222225,1085.0,2017-10-18,13
Lake Fire,Y,2013-05-18T19:00:00Z,2013-05-17T13:23:00Z,CAL FIRE/Los Angeles County ,,Los Angeles,I-5 Southbound at Lake Hughes Road,712.0,100.0,,CAL FIRE/Los Angeles County ,-118.610044,34.49149,,39af7eac-c188-411f-8c8a-d165c5fca4a9,https://www.fire.ca.gov/incidents/2013/5/17/lake-fire/,2013-05-18T19:00:00Z,2013-05-18,2013-05-17,N,True,False,2013-05-17,2.852479993636857,246.0,391.9866027832031,24.649540629620745,255.0,27.0,2013-05-17,14,34.51,-118.5945,0.024170975073425166,89,2013-05-17,Chamise,,61.0,"Bitter Canyon, Castaic",SOCC,LA County,34.51,-118.5945,1745.0,2013-05-17,0
Shelton Fire,Y,2013-05-30T13:25:00Z,2013-05-30T11:20:00Z,CAL FIRE Tuolumne-Calaveras Unit ,,San Joaquin,off North Shelton Rd in the Linden Peters area,303.0,100.0,,CAL FIRE Tuolumne-Calaveras Unit ,-120.90325,38.04993,,0b51d59b-457d-4a62-b066-55c2b8d400e2,https://www.fire.ca.gov/incidents/2013/5/30/shelton-fire/,2013-05-30T13:25:00Z,2013-05-30,2013-05-30,N,True,False,2013-05-30,2.481442628502305,98.0,83.79681396484375,15.528432480684891,164.0,5.0,2013-05-30,19,38.11472222222223,-120.79,0.13047449773995126,1287,2013-05-23,Chamise,New Growth,82.0,Valley Springs,SOCC,CAL FIRE Toulumne-Calaveras Unit,38.11472222222223,-120.79,908.0,2013-05-23,7
Border Fire,Y,2013-05-23T08:30:00Z,2013-05-22T16:14:00Z,CAL FIRE San Diego Unit,,San Diego,Off Alta Rd in the Otay Mesa area,100.0,100.0,,CAL FIRE San Diego Unit,-116.900368,32.564465,,e077e091-f890-477c-b948-eb23774b432e,https://www.fire.ca.gov/incidents/2013/5/22/border-fire/,2013-05-23T08:30:00Z,2013-05-23,2013-05-22,N,True,False,2013-05-22,2.0,202.0,194.60662841796875,43.63610247223866,192.0,10.0,2013-05-22,20,32.66638888888889,-116.7,0.22480172274747787,66,2013-05-20,Chamise,New Growth,88.0,Barrett,SOCC,SDG&E,32.66638888888889,-116.7,2500.0,2013-05-20,2
San Felipe Fire,Y,2022-10-24T11:41:15Z,2013-05-23T12:20:00Z,CAL FIRE San Diego Unit,,San Diego,"San Felipe Road, north of Highway 78, East of Julian",2650.0,100.0,,"CAL FIRE San Diego Unit, CALFIRE, USFS, BLM, SAN DIEGO SHERIFF'S OFFICE, AMR, CAL EMA, SAN DIEGO CITY, LOCAL GOVERNMENT, SAN DIEGO FIRE AUTHORITY, RESERVATION, CCC",-116.52579,33.12111,,859479e3-918c-42c6-bb74-5fdc17930a16,https://www.fire.ca.gov/incidents/2013/5/23/san-felipe-fire/,2013-05-26T17:45:00Z,2013-05-26,2013-05-23,N,True,False,2013-05-23,3.423245873936808,81.0,750.1547241210938,6.108508624623971,177.0,1.0,2013-05-23,21,33.1975,-116.59805555555556,0.10515580164571638,1032,2013-05-23,Chamise,New Growth,90.0,San Felipe,SOCC,SDG&E,33.1975,-116.59805555555556,3452.0,2013-05-23,0
General Fire,Y,2022-10-24T11:41:51Z,2013-05-26T12:04:00Z,CAL FIRE San Diego Unit,,San Diego,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",2500.0,100.0,,CAL FIRE San Diego Unit,-116.5209,33.04458,,07a5397c-a665-4f84-9a82-5f689cb2c8f3,https://www.fire.ca.gov/incidents/2013/5/26/general-fire/,2013-05-31T06:15:00Z,2013-05-31,2013-05-26,N,True,False,2013-05-26,3.3979400086720375,129.0,1117.3878173828125,69.26803071233203,166.0,6.0,2013-05-26,24,33.1975,-116.59805555555556,0.17128194929147092,1032,2013-05-23,Chamise,New Growth,90.0,San Felipe,SOCC,SDG&E,33.1975,-116.59805555555556,3452.0,2013-05-23,3
White Fire,Y,2013-05-30T19:30:00Z,2013-05-27T14:45:00Z,USFS Los Padres National Forest,,Santa Barbara,"Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez",1984.0,100.0,,USFS Los Padres National Forest,-119.82429,34.55048,,abc61995-8bea-4be1-aa49-ee378ab3baaa,https://www.fire.ca.gov/incidents/2013/5/27/white-fire/,2013-05-30T19:30:00Z,2013-05-30,2013-05-27,N,False,False,2013-05-27,3.2975416678181597,169.0,293.96466064453125,24.318205459305084,179.0,1.0,2013-05-27,25,34.511944444444445,-119.80555555555556,0.042848202419907354,1034,2013-05-15,Chamise,New Growth,98.0,San Marcos,SOCC,Los Padres NF,34.511944444444445,-119.80555555555556,2675.0,2013-05-15,12
Magic Fire,Y,2013-05-29T15:30:00Z,2013-05-28T11:30:00Z,Los Angeles County Fire Department,,Los Angeles,off Magic Mtn Parkway in Valencia,149.0,100.0,,Los Angeles County Fire Department,-118.58688,34.419284,,794412f2-1ba2-4217-ac38-49272a96fb6f,https://www.fire.ca.gov/incidents/2013/5/28/magic-fire/,2013-05-29T15:30:00Z,2013-05-29,2013-05-28,N,True,False,2013-05-28,2.173186268412274,345.0,373.6824645996094,22.810636858361885,188.0,10.0,2013-05-28,26,34.3555,-118.5348,0.08234515806043902,898,2013-05-17,Chamise,,79.0,Peach Motorway,SOCC,LA County,34.3555,-118.5348,1900.0,2013-05-17,11
Branch Fire,Y,2013-06-03T18:30:00Z,2013-06-01T17:27:00Z,Los Padres National Forest,,San Luis Obispo,"west of the Carrizo Plain, Los Padres National Forest",500.0,100.0,,Los Padres National Forest,-120.05131,35.15832,,213dc89e-9f29-4480-91a6-aec5fb694999,https://www.fire.ca.gov/incidents/2013/6/1/branch-fire/,2013-06-03T18:30:00Z,2013-06-03,2013-06-01,N,False,False,2013-06-01,2.6989700043360187,346.0,844.96728515625,88.63006723628936,189.0,11.0,2013-06-01,28,35.10888888888889,-120.07638888888889,0.05542910258681894,495,2013-06-01,Chamise,New Growth,61.0,Gifford,SOCC,Los Padres NF,35.10888888888889,-120.07638888888889,1450.0,2013-06-01,0
Murphy Fire,Y,2013-06-02T16:55:00Z,2013-06-02T13:30:00Z,CAL FIRE Tuolumne-Calaveras Unit,,Tuolumne,off Lime Kiln Rd,100.0,100.0,,CAL FIRE Tuolumne-Calaveras Unit,-120.33313,37.91529,,98bfbb7c-8446-4e2e-a268-7e961353723c,https://www.fire.ca.gov/incidents/2013/6/2/murphy-fire/,2013-06-02T16:55:00Z,2013-06-02,2013-06-02,N,True,False,2013-06-02,2.0,155.0,551.7197875976562,33.40672918699067,165.0,12.0,2013-06-02,29,38.00333333333333,-120.35166666666666,0.0899735325279333,1140,2013-05-09,Chamise,New Growth,153.0,Sonora,SOCC,CAL FIRE Toulumne-Calaveras Unit,38.00333333333333,-120.35166666666666,2500.0,2013-05-09,24
