State,County,FIPS,MapDate,DSCI
NV,Carson City,32510,20160216,500
NV,Carson City,32510,20160223,500
NV,Carson City,32510,20160301,500
NV,Carson City,32510,20160308,500
NV,Carson City,32510,20160315,400
NV,Carson City,32510,20160322,400
NV,Carson City,32510,20160329,400
NV,Carson City,32510,20160405,400
NV,Carson City,32510,20160412,400
NV,Carson City,32510,20160419,400
NV,Carson City,32510,20160426,400
NV,Carson City,32510,20160503,400
NV,Carson City,32510,20160510,400
NV,Carson City,32510,20160517,300
NV,Carson City,32510,20160524,300
NV,Carson City,32510,20160531,300
NV,Carson City,32510,20160607,300
NV,Carson City,32510,20160614,300
NV,Carson City,32510,20160621,300
NV,Carson City,32510,20160628,300
NV,Carson City,32510,20160705,300
NV,Carson City,32510,20160712,300
NV,Carson City,32510,20160719,300
NV,Carson City,32510,20160726,300
NV,Carson City,32510,20160802,300
NV,Carson City,32510,20160809,300
NV,Carson City,32510,20160816,300
NV,Carson City,32510,20160823,300
NV,Carson City,32510,20160830,300
NV,Carson City,32510,20160906,300
NV,Carson City,32510,20160913,300
NV,Carson City,32510,20160920,300
NV,Carson City,32510,20160927,300
NV,Carson City,32510,20161004,300
NV,Carson City,32510,20161011,300
NV,Carson City,32510,20161018,300
NV,Carson City,32510,20161025,300
NV,Carson City,32510,20161101,300
NV,Carson City,32510,20161108,294
NV,Carson City,32510,20161115,294
NV,Carson City,32510,20161122,294
NV,Carson City,32510,20161129,294
NV,Carson City,32510,20161206,294
NV,Carson City,32510,20161213,294
NV,Carson City,32510,20161220,257
NV,Carson City,32510,20161227,257
NV,Carson City,32510,20170103,257
NV,Carson City,32510,20170110,57
NV,Carson City,32510,20170117,0
NV,Carson City,32510,20170124,0
NV,Carson City,32510,20170131,0
NV,Carson City,32510,20170207,0
NV,Carson City,32510,20170214,0
NV,Carson City,32510,20170221,0
NV,Carson City,32510,20170228,0
NV,Carson City,32510,20170307,0
NV,Carson City,32510,20170314,0
NV,Carson City,32510,20170321,0
NV,Carson City,32510,20170328,0
NV,Carson City,32510,20170404,0
NV,Carson City,32510,20170411,0
NV,Carson City,32510,20170418,0
NV,Carson City,32510,20170425,0
NV,Carson City,32510,20170502,0
NV,Carson City,32510,20170509,0
NV,Carson City,32510,20170516,0
NV,Carson City,32510,20170523,0
NV,Carson City,32510,20170530,0
NV,Carson City,32510,20170606,0
NV,Carson City,32510,20170613,0
NV,Carson City,32510,20170620,0
NV,Carson City,32510,20170627,0
NV,Carson City,32510,20170704,0
NV,Carson City,32510,20170711,0
NV,Carson City,32510,20170718,0
NV,Carson City,32510,20170725,0
NV,Carson City,32510,20170801,0
NV,Carson City,32510,20170808,0
NV,Carson City,32510,20170815,0
NV,Carson City,32510,20170822,0
NV,Carson City,32510,20170829,0
NV,Carson City,32510,20170905,0
NV,Carson City,32510,20170912,0
NV,Carson City,32510,20170919,0
