incident_id,incident_name,incident_latitude,incident_longitude,elevation,slope,aspect,hillshade,elev_stddev_1km
b7168e23-a985-4e7e-b870-22006a55a069,Pickup Fire,37.244233,-119.731216,687.90673828125,6.0,242.0,196.0,37.25300400560230
5e349d97-2863-4b52-a2ed-0f4560d8b1cf,Steele Fire,32.733209,-116.914968,177.12767028808600,17.0,22.0,160.0,34.4238030405588
543374ff-d1c3-4c76-9ca4-3086a9598ad7,Button Fire,36.654779,-119.435896,107.79246520996100,2.0,241.0,187.0,2.6095456624422000
c1c21095-0f44-4ddb-8b34-6b9c06507f3b,Orleans Complex ,41.3255556,-123.4177777,571.7122192382810,45.0,308.0,255.0,160.8923425509680
3630f3bb-9d85-46d2-9a24-bbfd8286055f,Madera Fire,33.50064,-117.01089,389.31256103515600,2.0,146.0,177.0,66.33982601215490
406739ea-78f6-4255-9697-d6fc2e73ba59,Moore Fire,38.873631,-121.322879,41.98308181762700,1.0,150.0,178.0,1.5631531327208000
08cb4a51-41b2-4be7-bf9b-6dc1fab5169f,Reche Fire,33.95918,-117.191827,643.4873657226560,19.0,208.0,208.0,38.735399960373300
c594e5d5-06d5-4f9a-bd37-f2280f9af8f1,Springs Fire,32.7145184,-116.7478188,745.1907348632810,29.0,213.0,229.0,89.80557495722830
d6757966-5b8c-425d-8673-9c0d3f6c569c,Kirker Fire,37.982895,-121.898942,99.23604583740230,2.0,337.0,183.0,40.15851610773630
fb38fa74-9a89-4e09-a208-aaa84ad5656d,Parkway Fire,38.493586,-121.09374,48.6072998046875,2.0,228.0,184.0,5.8495334159062200
bd5030d1-9bee-402b-81c2-0509dc67356d,Stardust Fire,38.882558,-121.247136,80.80753326416020,3.0,154.0,177.0,6.035520028252810
22cea9ae-fd92-4502-8ae6-f3470dfbc8f0,Scavenger Fire,36.226722,-120.193833,128.66058349609400,0.0,70.0,180.0,1.5114305082554200
5672f0d9-db24-48c3-817c-e7b99cf25711,Canon Fire,38.2986878,-121.933483,31.6484489440918,11.0,267.0,213.0,3.543532451056310
f7583812-6b99-4429-9ee1-cb016865ba44,Island Fire,36.864545,-119.315821,291.5531311035160,4.0,231.0,191.0,66.13742458529330
686318b6-46bf-41f4-b9ce-c935c4e875fc,Ivory Fire,39.574,-122.707,1272.2470703125,12.0,317.0,205.0,86.67061059113670
dd9ec694-07b3-45ee-a17f-a1729ef2460d,Marie Fire,36.748969,-120.369387,50.68251800537110,0.0,44.0,179.0,0.8523064604315530
357031c1-f5cb-40af-a634-754e427f7fb0,Max Fire,36.9646836,-119.2280383,534.5074462890630,15.0,220.0,209.0,72.7135159438651
ad2c68a3-7e84-4da9-aa45-32831db93a91,Chowchilla Fire,37.098778,-120.265957,70.40231323242190,0.0,143.0,180.0,0.7747856505658890
0dfbed5a-c4ff-4d44-a777-ede21cc385ac,Fandango Fire,41.79792,-120.19432,1638.6939697265600,18.0,167.0,167.0,76.80064281115970
0ac52778-b57a-40d3-a456-a2695c8d1114,Jefferson Fire,36.654009,-120.315699,50.05899810791020,0.0,0.0,180.0,0.2897981021737230
b4d57fe0-8b23-4c00-9b32-140f485698ec,Piedra Fire,36.745812,-119.450866,127.47111511230500,0.0,132.0,180.0,1.8821976849110200
cb94c161-a4a5-4734-ac55-80bad3ccfc8b,Fobes Fire,33.636667,-116.634361,1363.316162109380,1.0,127.0,179.0,9.8854176366278
10b40268-289c-4fcc-a7ce-0e2d584b745f,Fay Fire,35.7349929,-118.3068082,1233.7490234375,11.0,249.0,212.0,47.81694609154370
0fe66384-ed74-40d2-8cef-f78ee5e7fbd8,High Fire,36.66331,-119.786,84.44535064697270,0.0,235.0,180.0,0.5216877408682900
a8e68f07-1d49-4baf-b6be-9807c5459bc9,Foster Fire,40.388446,-122.541885,208.01248168945300,2.0,81.0,174.0,13.885804328878100
adb9e4c0-569d-485d-bced-0cee394bc3c3,Dale Fire,33.51744,-116.78672,1044.75830078125,5.0,261.0,196.0,10.84394503983560
c3bac26e-e528-48de-ba61-d275d4382bab,Grain Fire,35.91106,-119.03899,169.28929138183600,2.0,269.0,186.0,3.4103190791345000
b595bc7e-fc8a-43da-afea-b84e20909a97,Baker Fire,40.3125,-122.578667,297.4839782714840,20.0,1.0,180.0,17.379062545253600
a5827766-cb05-47eb-b8e4-659ac49fd43e,Debbie Fire,40.092913,-120.111242,1281.2720947265600,0.0,0.0,180.0,1.6049553156964900
e34f6f9c-fd60-486f-96c1-c30aaaf52ffc,Little Fire,41.12607,-120.932333,1396.156005859380,3.0,123.0,172.0,26.083296432833300
68594725-8904-4e2d-83aa-ab833f666deb,Stetson Fire,33.729228,-117.076401,465.7528381347660,0.0,177.0,180.0,11.503159443062000
