incident_latitude,incident_longitude,distance_to_road_km,distance_to_city_km,distance_to_coast_km,distance_to_powerline_km
40.774,-122.309,0.28655618268433053,4.828706152433049,136.91366438617425,0.15114066423608563
1.0,1.0,,,,
36.602575,-118.01651,182.46589979420153,89.61864363958266,81.51905324839588,0.106680231471203
34.288877,-116.941311,32.98688429025637,4.021639600568294,119.94331137927978,6.099748808669781
37.116295,-119.635004,99.8693628681395,20.521081926074405,135.66154673853845,2.441774066200327
40.190062,-121.595555,53.300212970669065,36.94451049744033,136.0884287458956,27.668764730159175
38.441792,-122.350844,31.092411697109007,3.393835936576241,65.93723902123713,0.052464436035733635
38.638828,-122.655616,61.08370535849293,7.051259383664332,52.361266866290975,5.254673088231934
37.160346,-120.937494,8.995613696805938,10.742198653504284,104.91865850898274,8.300612543198895
39.514139,-122.560862,29.74188382294666,29.316516901969013,109.48976009757085,8.255615521972558
34.1834,-117.4408,0.3855839756635171,0.0,83.19051588739669,0.12357210226243073
33.894055,-116.855019,3.4029608668535634,1.2152626577945542,92.62642900808282,1.8997091169021478
34.7861,-118.9411,5.837164960125505,2.875651242343533,70.85093509470035,3.7749940953922785
33.655638,-116.161201,5.980977324003477,0.0,114.8813198904413,0.1331805214040446
34.49149,-118.610044,0.8051010337850019,0.15450933580788842,55.87471603399494,0.2958999422371881
37.1927,-119.7917,94.82163745224,17.432650678187983,138.57585616902637,8.86250631637808
35.49864,-120.91375,97.39587096304098,5.0562132981473615,11.894094697466784,1.6241833493655733
33.96201,-116.907213,4.141156735650708,1.6456174242987962,94.81826303980415,1.6369910753348742
33.9582,-116.6534,3.909791052265524,7.239366836915978,111.02979591258034,1.2205076566644593
38.04993,-120.90325,36.585250227424446,5.662566818531268,131.20880417103814,1.218465958836223
32.564465,-116.900368,12.291833537211419,0.453220441100006,1.2377459169517417,0.2993700841515195
33.12111,-116.52579,33.11882207427769,24.933968043204935,59.132620779258005,4.856971216927902
35.5123,-120.6368,79.1273304268066,1.6522760471383244,29.88197634817404,5.202570604114578
33.963591,-117.187934,8.833645958140135,0.9744486828762525,78.36811614788444,0.08501165588749829
33.04458,-116.5209,24.734250565705523,22.174106889592895,50.650358822848055,3.9474928527168496
34.55048,-119.82429,90.79317380730326,8.745266779003549,20.616046858470348,2.4480709923318797
34.419284,-118.58688,0.45913962835457806,0.3058797620453318,47.785801882440396,0.35769670239299606
34.611824,-120.074655,106.29665767006557,0.17065709989415,21.779154490592575,4.357002103125141
35.15832,-120.05131,60.248214154963236,38.4482306725894,58.499644725700435,3.960612196946561
37.91529,-120.33313,83.06786007882766,4.265067841696589,109.70399502440682,5.663061922947076
39.434183,-121.576804,53.01819298905183,1.5538797677155443,135.2537809041166,1.9137762641222813
33.99647,-116.84137,7.26103313278894,4.934540018723153,101.70863473086813,5.848192108446752
38.4229,-122.0437,8.621540414920505,4.929261027336333,83.86547331542732,3.9837263602024793
37.03776,-121.006939,3.884743579684317,11.380022058683899,96.02675090050096,0.1411189180340412
38.99233,-122.703193,51.081355580452495,0.03698736637508747,75.88956855362824,4.285345930862438
