,incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,lon,lat,fire_start_date,rmax_mean_8w,rmin_mean_8w,sph_mean_8w,srad_mean_8w,tmmn_mean_8w,tmmx_mean_8w,vs_mean_8w,bi_mean_8w,fm100_mean_8w,fm1000_mean_8w,erc_mean_8w,etr_mean_8w,pet_mean_8w,vpd_mean_8w,pr_sum_8w,th_sin_8w,th_cos_8w,rmax_mean_6w,rmin_mean_6w,sph_mean_6w,srad_mean_6w,tmmn_mean_6w,tmmx_mean_6w,vs_mean_6w,bi_mean_6w,fm100_mean_6w,fm1000_mean_6w,erc_mean_6w,etr_mean_6w,pet_mean_6w,vpd_mean_6w,pr_sum_6w,th_sin_6w,th_cos_6w,rmax_mean_4w,rmin_mean_4w,sph_mean_4w,srad_mean_4w,tmmn_mean_4w,tmmx_mean_4w,vs_mean_4w,bi_mean_4w,fm100_mean_4w,fm1000_mean_4w,erc_mean_4w,etr_mean_4w,pet_mean_4w,vpd_mean_4w,pr_sum_4w,th_sin_4w,th_cos_4w,rmax_mean_2w,rmin_mean_2w,sph_mean_2w,srad_mean_2w,tmmn_mean_2w,tmmx_mean_2w,vs_mean_2w,bi_mean_2w,fm100_mean_2w,fm1000_mean_2w,erc_mean_2w,etr_mean_2w,pet_mean_2w,vpd_mean_2w,pr_sum_2w,th_sin_2w,th_cos_2w,log_acres_burned
0, Bridge Fire,Y,2018-01-09T13:46:00Z,2017-10-31T11:22:00Z, Shasta-Trinity National Forest ,,Shasta,"I-5 and Turntable Bay, 7 miles NE of Shasta Lake ",37.0,100.0,, Shasta-Trinity National Forest ,-122.309,40.774,,2ca11d45-8139-4c16-8af0-880d99b21e82,https://www.fire.ca.gov/incidents/2017/10/31/bridge-fire/,2018-01-09T13:46:00Z,2018-01-09,2017-10-31,N,False,False,-122.309,40.774,2017-10-31,66.192856,24.985716,0.008113571,240.8143,289.82144,305.2,3.4071426,49.285713,8.385715,7.2071433,72.07143,8.17143,5.7428575,2.1807144,5.4,0.20679948,-0.27431133,63.328564,20.928572,0.0052585714,212.42143,284.30716,299.7143,3.7071433,52.642857,8.728571,8.092857,69.21429,7.1857142,4.835715,1.6178572,0.0,0.09124769,0.065097116,47.43571,10.699999,0.0032092857,204.02144,281.69998,298.89996,3.7714288,60.285713,6.192857,7.2642856,79.35714,7.35,4.7285714,1.7485715,0.0,0.44198844,0.05889838,72.64286,22.742859,0.0054421425,151.48572,282.07855,299.4857,3.457143,39.57143,10.414286,8.971429,61.857143,5.5571427,3.557143,1.5407141,16.5,0.18403195,-0.09834643,3.6375861597263857
1,Pala Fire,Y,2020-09-16T14:07:35Z,2009-05-24T14:56:00Z,CAL FIRE San Diego Unit,,San Diego,"Hwy 76 and Pala Temecula, northwest of Pala",122.0,100.0,,CAL FIRE San Diego Unit,1.0,1.0,Wildfire,8f61f461-552d-4538-b186-35ab030da416,https://www.fire.ca.gov/incidents/2009/5/24/pala-fire/,2009-05-25T00:00:00Z,2009-05-25,2009-05-24,N,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.812184355372417
2,River Fire,Y,2022-10-24T11:39:23Z,2013-02-24T08:16:00Z,CAL FIRE San Bernardino Unit,,Inyo,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",407.0,100.0,,"CAL FIRE San Bernardino Unit, Inyo County Sheriff, US Forest Service, BLM, LADWP, Lone Pine Volunteer Fire Department, Big Pine Volunteer Fire Department, Olancha Volunteer Fire Department, Independence Volunteer Fire Department.",-118.01651,36.602575,,094719ba-a47b-4abb-9ec5-a506b2b9fd23,https://www.fire.ca.gov/incidents/2013/2/24/river-fire/,2013-02-28T20:00:00Z,2013-02-28,2013-02-24,N,True,False,-118.01651,36.602575,2013-02-24,63.415382,23.13077,0.0022353844,109.19999,269.41537,283.13846,2.5461538,31.692308,10.43077,12.623077,49.615383,2.5153844,1.5923078,0.54615384,3.5,-0.09050389,0.20469505,72.00714,26.314283,0.0026721428,119.91429,269.83572,284.54288,2.3500001,32.357143,12.099999,12.457143,47.92857,2.614286,1.6928571,0.56928575,2.8,-0.19092631,0.6486398,65.50001,22.000002,0.0029435714,140.7,273.32138,288.06427,2.5214286,32.857143,10.921428,12.078573,51.357143,3.2571425,2.1857142,0.7550001,3.0,-0.28562093,0.49656233,61.12857,18.464289,0.0023707144,163.87856,271.67856,286.98572,2.7285717,46.714287,8.778571,10.55,62.357143,3.642857,2.4785714,0.74428564,0.0,-0.33885226,0.6919772,6.0112671744041615
3,Fawnskin Fire,Y,2013-04-22T09:00:00Z,2013-04-20T17:30:00Z,San Bernardino National Forest,,San Bernardino,"west of Delamar Mountain, north of the community of Fawnskin, northside of Big Bear Lake",30.0,100.0,,San Bernardino National Forest,-116.941311,34.288877,,58f89ff8-bd3e-4355-b1c0-8fa05c747d3f,https://www.fire.ca.gov/incidents/2013/4/20/fawnskin-fire/,2013-04-22T09:00:00Z,2013-04-22,2013-04-20,N,False,False,-116.941311,34.288877,2013-04-20,63.992863,18.335714,0.0020321428,222.79286,267.04288,282.3857,3.507143,40.857143,9.764285,12.321428,53.42857,3.6928573,2.6571426,0.5435714,14.5,-0.32356092,-0.18811549,52.899998,12.714286,0.0022614286,251.19998,271.6,288.9,3.214286,44.57143,9.064285,12.185715,57.5,5.028571,3.628571,0.9178571,6.0,-0.58064425,0.028815728,68.34285,16.057142,0.0028585715,274.89285,270.85715,288.73572,2.892857,51.142857,8.664286,9.785714,66.07143,4.9500003,3.7428572,0.7892858,0.0,-0.73376805,-0.099703476,61.757145,15.092856,0.0025414284,307.69998,270.2214,287.55713,4.4,52.5,8.614286,9.6285715,64.92857,5.792857,4.2714286,0.78071433,2.9,-0.70826906,-0.010796853,3.4339872044851463
4,Gold Fire,Y,2013-05-01T07:00:00Z,2013-04-30T12:59:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,Between Road 210 and Road 200 near Fine Gold Creek in the community of O,274.0,100.0,,CAL FIRE Madera-Mariposa-Merced Unit,-119.635004,37.116295,,357ffc13-bef9-48eb-810f-c5de851972eb,https://www.fire.ca.gov/incidents/2013/4/30/gold-fire/,2013-05-01T07:00:00Z,2013-05-01,2013-04-30,N,True,False,-119.635004,37.116295,2013-04-30,87.98571,38.65,0.0058585713,198.17859,279.0643,294.04288,2.3714283,18.285715,15.328572,16.59286,30.642857,3.8499997,2.9285715,0.8371428,17.199999,-0.14948715,0.44537354,85.185715,36.164284,0.005765,220.09999,279.27142,294.62857,2.3,22.857143,13.771428,15.350001,35.857143,4.35,3.3642857,0.86500007,11.0,-0.38648865,0.50819665,92.450005,38.1,0.0063692858,253.91428,279.44284,295.40005,3.614286,28.0,14.835714,15.564285,34.857143,5.385714,4.0642858,0.84142846,2.5,-0.60883296,0.7813611,75.0,26.814281,0.006144285,300.02856,281.65,299.85,3.1571429,39.285713,10.485715,13.521429,49.142857,7.164286,5.3928576,1.4078571,0.0,-0.5065881,0.8555085,5.616771097666572
5,Panther Fire,Y,2022-10-24T11:40:03Z,2013-05-01T09:12:00Z,CAL FIRE Butte Unit,,Tehama,"140K3 Line, 8 miles northwest of Butte Meadows",6896.0,100.0,,"CAL FIRE Butte Unit, CAL FIRE, USFS (Lassen and Plumas NF), CDCR, SPI, Collins Pine, Chico Fire Department",-121.595555,40.190062,,53122f0f-fefc-4dbf-b2d8-566b42ced66d,https://www.fire.ca.gov/incidents/2013/5/1/panther-fire/,2013-05-09T09:00:00Z,2013-05-09,2013-05-01,N,True,False,-121.595555,40.190062,2013-05-01,68.564285,29.357145,0.003440714,189.53572,273.54288,287.1357,3.7857149,25.142857,12.657142,16.007145,36.285713,3.9214284,2.7999997,0.67,43.0,-0.097773895,0.9020089,86.43572,41.18572,0.0046592853,208.99998,273.90714,286.57858,3.8142858,17.928572,15.585714,16.414286,28.785715,3.4714286,2.65,0.45642853,67.9,0.19429232,0.87269783,85.21428,42.485718,0.0046935715,250.20714,274.2786,286.2786,4.914285,24.571428,16.25,18.414286,25.928572,4.0642858,3.1,0.4535714,20.8,-0.18773247,0.8936443,64.80714,24.22857,0.004196428,312.4857,276.62857,291.77856,4.5071425,44.92857,8.971428,14.45,48.285713,6.5214295,4.821429,0.9078571,0.0,-0.28475407,0.9483267,8.83884181343129
6,Silverado Fire,Y,2013-05-01T17:15:00Z,2013-04-30T23:44:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Napa,"7300 block of Silverado Trail, north of Napa",75.0,100.0,,CAL FIRE Sonoma-Lake-Napa Unit,-122.350844,38.441792,,d8d1c943-7b5d-4885-9043-f41075d6eded,https://www.fire.ca.gov/incidents/2013/4/30/silverado-fire/,2013-05-01T17:15:00Z,2013-05-01,2013-04-30,N,True,False,-122.350844,38.441792,2013-04-30,86.08572,37.90714,0.005744286,214.62859,279.30716,293.66428,2.857143,24.857143,15.1428585,16.507143,32.92857,4.0785713,3.0642858,0.7871429,12.0,-0.7998005,-0.06385923,88.92857,44.62143,0.0062614284,196.37859,279.87857,292.67142,3.057143,18.928572,15.407142,16.250002,29.642857,3.9714284,3.0142856,0.6328572,22.4,-0.5513116,-0.025542838,91.39286,40.87143,0.006784286,267.60715,280.45,295.41428,3.9642856,23.0,16.47857,17.92857,27.0,5.6,4.2285714,0.7871428,17.7,-0.7357114,-0.075417005,70.60715,24.392857,0.0060049994,325.67142,282.78574,300.55,3.7785714,41.357143,9.657144,14.364285,47.785713,8.3714285,6.157143,1.5057143,0.0,-0.6416942,0.47513315,4.330733340286331
7,Yellow Fire,Y,2013-05-03T06:15:00Z,2013-05-01T02:01:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Sonoma,"Hwy 128 & Yellow Jacket Ranch Rd in Knights Valley, northwest of Calistoga",125.0,100.0,,CAL FIRE Sonoma-Lake-Napa Unit,-122.655616,38.638828,,64e4f81e-d872-44c4-ba8d-111fa77124ba,https://www.fire.ca.gov/incidents/2013/5/1/yellow-fire/,2013-05-03T06:15:00Z,2013-05-03,2013-05-01,N,True,False,-122.655616,38.638828,2013-05-01,89.08572,42.97857,0.0063835713,210.67857,279.4,291.7,3.5285716,23.428572,16.292858,17.064287,29.214285,3.7214284,2.8428571,0.59285706,36.3,-0.41250244,0.5525586,91.442856,55.43571,0.007229286,205.2,279.05713,290.1357,3.192857,16.571428,17.642857,17.87143,23.5,3.0142856,2.492857,0.3314286,42.2,-0.29046193,0.41762882,93.17857,48.85714,0.0071621435,267.7214,279.19287,291.82855,5.2000003,23.285715,17.842855,19.992859,21.0,4.585715,3.557143,0.47071433,24.3,-0.64022964,0.3833888,73.62142,26.828571,0.006568572,325.24286,282.90714,298.10004,3.8428571,37.5,10.357142,15.778571,42.42857,7.478572,5.657142,1.2064285,0.0,-0.45494717,0.48231766,4.836281906951478
8,Summit Fire,Y,2022-10-24T11:40:42Z,2013-05-01T12:38:00Z,CAL FIRE/Riverside County Fire ,,Riverside,Mias Canyon and Bluff Road in Banning,2956.0,100.0,,CAL FIRE/Riverside County Fire ,-116.941311,34.288877,,a1b14be5-a8cf-4e40-8588-96becf4c5879,https://www.fire.ca.gov/incidents/2013/5/1/summit-fire/,2013-05-04T18:30:00Z,2013-05-04,2013-05-01,N,True,False,-116.941311,34.288877,2013-05-01,59.385715,17.714287,0.0022935716,241.54997,270.40714,286.73572,3.2785716,36.0,10.478571,12.507143,51.92857,4.407143,3.2214284,0.80285704,20.5,-0.53742445,-0.15923832,66.25714,15.714286,0.0027335715,268.04285,270.7143,288.29288,3.05,52.5,7.985714,9.942857,66.64286,4.9500003,3.692857,0.7764286,0.0,-0.7715972,-0.04206304,66.564285,16.4,0.002925714,300.30713,271.37857,288.88574,4.142857,49.142857,9.207143,9.792856,62.92857,5.821429,4.307143,0.81928575,2.9,-0.83485854,0.065581076,42.87143,7.5571427,0.0020692856,327.57858,273.19284,292.02142,3.1214287,64.57143,5.5571427,8.142858,80.85714,6.7428575,5.057143,1.1857144,0.0,-0.59196484,0.044126887,7.9919305198524775
9,Tres Pinos Fire,Y,2013-05-03T18:45:00Z,2013-05-03T11:42:00Z,CAL FIRE San Benito-Monterey ,,San Benito,"Highway 25 and Horizon Rd, Community of Tres ",354.0,100.0,,CAL FIRE San Benito-Monterey ,-120.937494,37.160346,,ca68f3c4-4906-4952-b794-4531d7da8369,https://www.fire.ca.gov/incidents/2013/5/3/tres-pinos-fire/,2013-05-03T18:45:00Z,2013-05-03,2013-05-03,N,True,False,-120.937494,37.160346,2013-05-03,97.84286,37.1,0.007017143,228.3,280.6143,296.65,2.242857,18.928572,17.121428,18.585714,26.0,4.135714,3.2357144,0.86071426,4.5,-0.5453864,0.58139336,94.51429,35.585712,0.006966428,242.32854,281.27856,296.95718,2.192857,20.928572,15.6214285,17.250002,30.214285,4.6,3.6428568,0.90928566,9.1,-0.6639328,0.19275972,91.99285,29.428572,0.006207857,303.70718,280.07144,297.35715,4.114286,33.285713,14.8,16.742857,34.5,6.742856,5.021428,1.0314286,0.0,-0.75093144,0.6391339,79.38573,18.85,0.0068885717,331.95712,284.97144,305.20712,2.8000004,39.142857,9.9,13.657143,50.57143,8.700001,6.5499997,1.9814285,0.0,-0.6052193,0.77596533,5.872117789475416
10,306 Fire,Y,2013-05-05T18:00:00Z,2013-05-01T19:00:00Z,CAL FIRE Tehama-Glenn Unit,,Glenn,2 miles south of the community of Elk Creek,217.0,100.0,,CAL FIRE Tehama-Glenn Unit,-122.560862,39.514139,,5649e78d-7c26-4698-89a0-b0fa9a35cf78,https://www.fire.ca.gov/incidents/2013/5/1/306-fire/,2013-05-05T18:00:00Z,2013-05-05,2013-05-01,N,True,False,-122.560862,39.514139,2013-05-01,83.957146,31.921432,0.005216428,211.69997,278.1,293.91428,2.9142857,24.285715,14.342857,15.928572,35.214287,4.2642856,3.1642857,0.88142866,21.499998,-0.13651225,0.83306205,91.08571,41.607143,0.0062121428,215.9,278.47858,292.82144,3.4571426,25.285715,15.442858,15.328573,33.714287,4.15,3.1499999,0.63357145,20.9,0.17493793,0.77684927,85.32857,35.80714,0.005847144,266.39285,279.0,294.54282,4.135714,29.714285,15.085714,17.249998,31.714285,5.7999997,4.292857,0.85071427,11.0,-0.23693885,0.7693716,66.02857,20.071428,0.0052407146,334.55002,281.89285,300.67856,4.1357145,48.57143,8.407143,13.192858,53.92857,9.107143,6.6,1.6235715,0.0,-0.35762167,0.67064893,5.384495062789089
11,Lytle Fire,Y,2013-05-15T08:15:00Z,2013-05-13T13:30:00Z,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit",,San Bernardino,"I-15 at Sierra Ave, near Lytle Creek",75.0,100.0,,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit, CAL FIRE, USFS, San Bernardino Co., San Bernardino City, Rialto, Rancho, Ontario, CHP, San Bernardino Sheriff's Office",-117.4408,34.1834,,e2c4b308-9a2d-483b-8434-999bef9adc7c,https://www.fire.ca.gov/incidents/2013/5/13/lytle-fire/,2013-05-15T08:15:00Z,2013-05-15,2013-05-13,N,True,False,-117.4408,34.1834,2013-05-13,63.385715,18.792858,0.005034285,241.9357,283.02142,298.25714,3.5142858,54.5,7.8142858,10.214286,65.64286,7.05,4.9857144,1.4528571,0.0,-0.9357638,0.06276778,75.86428,23.97857,0.005995714,262.65,282.3,297.69287,4.3214283,51.0,10.564286,10.321428,59.214287,7.1357145,5.1428576,1.2442857,3.1,-0.83950484,0.23322749,61.785713,17.228573,0.0049985712,285.4286,282.91428,299.44284,3.7928567,47.42857,8.671428,9.92143,64.28571,7.7285714,5.6428576,1.6414286,3.6999998,-0.5403943,0.18261005,71.12857,27.542858,0.006365,294.73575,284.5643,298.72855,3.8499997,49.142857,10.464285,9.814286,60.785713,7.642857,5.7000003,1.4492856,13.1,-0.29641947,-0.3526276,4.330733340286331
12,Gorgonio Fire,Y,2022-10-24T11:40:58Z,2013-05-04T11:43:00Z,CAL FIRE/Riverside County Fire,,Riverside,"Highway 243, south of Banning and north of Pine Cove",650.0,100.0,,CAL FIRE/Riverside County Fire,-116.855019,33.894055,,958ce6d2-97f9-4848-8620-d14ab87f329d,https://www.fire.ca.gov/incidents/2013/5/4/gorgonio-fire/,2013-05-05T18:45:00Z,2013-05-05,2013-05-04,N,True,False,-116.855019,33.894055,2013-05-04,55.078575,13.935714,0.0035857141,254.87856,280.74283,298.04288,2.75,43.142857,8.964286,11.464285,59.642857,6.4357147,4.571429,1.6178572,7.7,-0.53474754,-0.2948694,65.38572,17.064285,0.004327857,275.32144,280.33572,297.67145,2.9714286,53.785713,8.071428,9.3,69.07143,6.735715,4.9000006,1.4221429,0.0,-0.6987855,-0.17939714,66.71429,18.942856,0.004193572,304.57858,279.05713,295.66428,3.8428574,47.142857,9.635714,9.728571,62.57143,7.042857,5.1571426,1.2507143,6.6000004,-0.6457182,-0.20697005,51.478573,10.492857,0.0038971428,330.47858,283.15,301.8357,2.9428575,60.357143,6.307143,8.428571,77.42857,8.771429,6.421429,2.0307143,0.4,-0.63096845,-0.28405932,6.478509642208569
13,Grand Fire,Y,2013-05-21T19:45:00Z,2013-05-15T12:50:00Z,CAL FIRE / USFS Los Padres National Forest,,"Kern, Ventura","South of Frazier Mountain Park Rd, South of Frazier Park",4346.0,100.0,,"CAL FIRE / USFS Los Padres National Forest, CAL FIRE, USFS, KERN CO FD, VENTURA CO FD, KERN COUNTY SO, VENTURA CO SO, LA CO SO, LAFD, CALEMA, BLM, KERN CO RD DEPT., CHP, CALIFORNIA STATE PARKS",-118.9411,34.7861,,e0d038e9-0926-4c05-8317-ec7075a04b12,https://www.fire.ca.gov/incidents/2013/5/15/grand-fire/,2013-05-21T19:45:00Z,2013-05-21,2013-05-15,N,True,False,-118.9411,34.7861,2013-05-15,58.964287,19.02143,0.0028507144,259.5643,273.67142,287.34286,3.5,52.142857,8.035715,9.3714285,67.0,5.078572,3.75,0.76785713,5.0,-0.5653115,0.061699945,62.864285,23.157145,0.0032514283,267.19287,274.17145,287.07855,4.6857147,62.92857,8.585714,9.150001,66.92857,5.5,4.028571,0.73071426,0.3,-0.49996543,0.39127818,46.02143,11.449999,0.002812143,311.27856,276.77145,292.74286,3.592857,66.78571,6.0285716,7.8571424,79.85714,7.142857,5.2714286,1.2178574,0.0,-0.34941626,-0.09847711,46.87143,14.942856,0.003001429,319.4429,278.6643,293.59283,4.178571,63.07143,6.75,7.464286,77.42857,8.014285,5.8428574,1.3385715,10.5,-0.22076043,-0.2926879,8.377241230988792
14,54 Fire,Y,2013-05-17T08:30:00Z,2013-05-16T13:48:00Z,CAL FIRE Riverside Unit,,Riverside,"Avenue 54 and Tyler Street, near the community of Coachella",40.0,100.0,,CAL FIRE Riverside Unit,-116.161201,33.655638,,e215290f-d0b4-48fd-be32-f599959347b1,https://www.fire.ca.gov/incidents/2013/5/16/54-fire/,2013-05-17T08:30:00Z,2013-05-17,2013-05-16,N,True,False,-116.161201,33.655638,2013-05-16,51.035713,12.207143,0.004572143,272.31427,286.8643,304.93576,3.3785713,63.642857,5.921429,7.378571,80.85714,9.478571,6.4928565,2.4128573,0.0,-0.62105614,0.18969668,58.34286,16.285713,0.005299286,301.9643,286.6143,303.9,4.507143,70.85714,6.9,7.071429,79.5,10.357142,7.164285,2.1907144,0.0,-0.8648205,0.0044137836,34.92143,5.628571,0.003352857,326.35,288.7143,308.88568,3.2785716,71.35714,4.4000006,6.1142855,91.21429,11.742858,8.1,3.35,0.0,-0.595915,0.16495731,54.72143,16.085714,0.0056585716,322.30002,290.2214,307.63574,3.7071426,68.28571,7.0428576,6.0999994,83.71429,11.099998,7.8499994,2.935,0.0,-0.57480514,-0.17444356,3.713572066704308
15,Lake Fire,Y,2013-05-18T19:00:00Z,2013-05-17T13:23:00Z,CAL FIRE/Los Angeles County ,,Los Angeles,I-5 Southbound at Lake Hughes Road,712.0,100.0,,CAL FIRE/Los Angeles County ,-118.610044,34.49149,,39af7eac-c188-411f-8c8a-d165c5fca4a9,https://www.fire.ca.gov/incidents/2013/5/17/lake-fire/,2013-05-18T19:00:00Z,2013-05-18,2013-05-17,N,True,False,-118.610044,34.49149,2013-05-17,72.12142,18.928572,0.00506,255.29286,281.41428,298.85715,3.0714283,47.357143,9.292856,9.8714285,63.5,6.835714,4.9071426,1.4271429,1.7,-0.61659414,0.16896896,73.307144,21.821428,0.005200714,289.97855,280.6357,297.17142,4.0499997,55.357143,10.3928585,10.285715,61.07143,7.428572,5.371429,1.2407143,0.0,-0.23732689,-0.013259151,58.842857,12.735713,0.0051492853,311.35,284.5,303.64282,3.142857,58.42857,7.2785716,9.107142,72.28571,9.157143,6.621428,2.0807145,0.0,-0.05851649,0.08364545,70.73571,25.542856,0.006473571,310.65717,285.1,301.10004,3.5071428,50.57143,10.192858,9.65,62.57143,8.178571,6.092857,1.7057143,7.5,-0.2576154,0.14872156,6.569481420414296
16,Lilly 2 Fire,Y,2013-05-20T19:10:00Z,2013-05-19T15:07:00Z,CAL FIRE Madera-Mariposa-Merced Unit,,Madera,Off Road 400 & Sandy Beach Dr. in Yosemite Lakes,91.0,100.0,,CAL FIRE Madera-Mariposa-Merced Unit,-119.7917,37.1927,,2b765a08-c770-4b19-baa8-00dffe3fa838,https://www.fire.ca.gov/incidents/2013/5/19/lilly-2-fire/,2013-05-20T19:10:00Z,2013-05-20,2013-05-19,N,True,False,-119.7917,37.1927,2013-05-19,88.942856,39.014286,0.0059314286,232.45714,279.37143,294.35715,2.4857142,21.642857,14.657143,15.942857,33.07143,4.5000005,3.4785712,0.8164286,11.0,-0.14889966,0.4571419,86.97858,36.10714,0.0055664284,288.75,278.45715,294.47147,4.6857147,37.142857,14.107144,15.6285715,37.357143,6.128571,4.542857,0.8707143,0.0,-0.60390866,0.7815839,74.97858,27.235718,0.0067685717,320.70712,283.90002,302.21432,2.864286,38.714287,10.492857,13.342858,49.642857,7.85,5.9785714,1.6142856,0.0,-0.25343794,0.66039264,72.95,25.942856,0.006056429,310.47858,283.0,300.64285,3.5071428,35.214287,9.857144,11.985715,51.142857,8.271428,6.128571,1.5678569,9.8,-0.36311913,0.55091554,4.5217885770490405
17,Cottontail Fire,Y,2013-05-20T19:10:00Z,2013-05-20T15:45:00Z,CAL FIRE San Luis Obispo Unit,,San Luis Obispo,Cayucos Creek Rd & Thunder Canyon Rd north of Cayucos,35.0,100.0,,CAL FIRE San Luis Obispo Unit,-120.91375,35.49864,,f17c523c-bf01-4245-899b-7c2331096dae,https://www.fire.ca.gov/incidents/2013/5/20/cottontail-fire/,2013-05-20T19:10:00Z,2013-05-20,2013-05-20,N,True,False,-120.91375,35.49864,2013-05-20,99.057144,45.285713,0.006624285,244.87143,279.50714,292.39285,3.6000001,23.571428,16.84286,17.614286,27.071428,4.1857142,3.3,0.53142864,2.1,-0.6402637,0.20984335,93.792854,38.164284,0.006022143,306.27856,279.6,293.1357,5.7285714,33.857143,15.528572,17.057142,31.142857,5.928571,4.4142857,0.69285715,1.1,-0.51213557,0.8240363,90.15715,37.621426,0.0066,322.22855,281.39285,294.85715,3.1499999,31.5,13.700002,15.485713,37.857143,5.707143,4.585715,0.7935714,0.0,-0.58029544,0.038992703,92.07857,41.657143,0.0071092853,325.2214,282.2857,294.67856,4.75,36.5,14.150001,14.807142,37.785713,6.228572,4.857143,0.73857135,1.1,-0.68365157,0.47222206,3.58351893845611
18,Cherry Fire,Y,2013-05-20T18:50:00Z,2013-05-20T13:47:00Z,CAL FIRE Riverside Unit,,Riverside,Off Sunset Ave & Mesa St in Banning,25.0,100.0,,CAL FIRE Riverside Unit,-116.907213,33.96201,,a60e315c-23d5-4ba4-869c-5c1e22a25e7a,https://www.fire.ca.gov/incidents/2013/5/20/cherry-fire/,2013-05-20T18:50:00Z,2013-05-20,2013-05-20,N,True,False,-116.907213,33.96201,2013-05-20,71.73571,19.199999,0.0052264286,278.23572,280.99283,298.18573,2.9714284,52.07143,8.921428,9.428571,67.0,6.6214285,4.914286,1.359286,0.0,-0.9135736,-0.23094764,61.98571,17.4,0.004250714,309.8357,279.8857,296.55,3.707143,46.07143,9.542857,10.214286,61.42857,7.135714,5.25,1.3578571,9.7,-0.62495136,-0.23154208,56.914284,13.185714,0.0046285717,326.24286,283.30002,301.17142,3.2,60.57143,6.557143,8.621429,75.57143,8.585714,6.328571,1.8678572,0.5,-0.60350937,-0.3427213,78.15001,25.635714,0.006705,329.22858,283.39285,300.15714,3.2357142,38.214287,11.342857,10.464285,55.714287,7.407143,5.7642865,1.5128573,17.0,-0.67131555,-0.42195994,3.258096538021482
19,Water Fire,Y,2013-05-21T19:30:00Z,2013-05-21T14:16:00Z,CAL FIRE/Riverside County Fire ,,Riverside,Off Whitewater Canyon Road in Whitewater,90.0,100.0,,CAL FIRE/Riverside County Fire ,-116.6534,33.9582,,13850faa-5bab-4fd7-bac3-433ce9250c4d,https://www.fire.ca.gov/incidents/2013/5/21/water-fire/,2013-05-21T19:30:00Z,2013-05-21,2013-05-21,N,True,False,-116.6534,33.9582,2013-05-21,62.34286,15.271428,0.0047271424,270.7286,282.9643,300.95712,4.0857143,69.42857,7.1714287,7.4785705,78.92857,8.75,6.0642853,1.7771429,0.0,-0.8893791,-0.23103751,48.92857,10.8,0.0033742858,307.8357,281.84286,300.20712,4.407143,75.14286,6.471429,7.3142853,82.0,9.464285,6.5857153,1.9128573,0.0,-0.6053567,-0.3638745,44.80714,10.3,0.003717857,313.9643,285.8429,303.6214,4.4428573,82.92857,4.678571,6.0285716,91.07143,10.864287,7.5285716,2.412143,0.5,-0.60673445,-0.18266128,62.47143,15.771429,0.005507857,333.59283,286.3643,304.72858,4.0785713,70.5,8.164286,6.9642863,79.28571,10.521429,7.542857,2.3328571,0.0,-0.5747057,-0.37312314,4.51085950651685
20,Shelton Fire,Y,2013-05-30T13:25:00Z,2013-05-30T11:20:00Z,CAL FIRE Tuolumne-Calaveras Unit ,,San Joaquin,off North Shelton Rd in the Linden Peters area,303.0,100.0,,CAL FIRE Tuolumne-Calaveras Unit ,-120.90325,38.04993,,0b51d59b-457d-4a62-b066-55c2b8d400e2,https://www.fire.ca.gov/incidents/2013/5/30/shelton-fire/,2013-05-30T13:25:00Z,2013-05-30,2013-05-30,N,True,False,-120.90325,38.04993,2013-05-30,90.32143,40.18571,0.0061900006,268.89285,279.50003,294.75,4.3,29.928572,15.164286,17.885714,29.857143,5.7428575,4.2642856,0.79285717,7.6000004,-0.6732344,0.6278134,79.721436,26.614286,0.006526429,321.05716,282.19998,301.9143,3.0714285,38.57143,10.742858,14.735713,45.857143,7.885714,5.914286,1.5264285,0.0,-0.6308668,0.7651352,70.78572,23.278568,0.0064914287,311.72144,285.14285,303.46426,2.585714,35.714287,9.142857,12.092856,53.857143,8.1214285,6.15,1.8849999,3.2,-0.6137662,0.5430004,70.33572,22.321428,0.005371429,320.74286,282.1357,300.52142,3.5357146,47.642857,8.378572,10.378571,61.57143,8.657143,6.357143,1.5649999,0.6,-0.81098604,0.5358447,5.717027701406222
